"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","RD19-ADS","RD19-AIS","RD19-ACS","RD19-RCS","RD19-RIS","RD20-ADS","RD20-AIS","RD20-ACS","RD20-RCS","RD20-RIS","RD21-ADS","RD21-AIS","RD21-ACS","RD21-RCS","RD21-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS"
"1","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","7.0","0.0","0.0","0.2916666666666667","0.0","4.0","0.0","0.0","0.16666666666666666","0.0","7.0","1.0","7.0","0.2916666666666667","0.041666666666666664","6.0","0.0","0.0","0.25","0.0","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","6.0","3.0","18.0","0.25","0.125","5.0","4.0","20.0","0.20833333333333334","0.16666666666666666","2.0","3.0","6.0","0.08333333333333333","0.125","3.0","5.0","15.0","0.125","0.20833333333333334","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","4.0","8.0","32.0","0.16666666666666666","0.3333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","4.0","3.0","12.0","0.16666666666666666","0.125","6.0","2.0","12.0","0.25","0.08333333333333333","6.0","2.0","12.0","0.25","0.08333333333333333","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","5.0","3.0","15.0","0.20833333333333334","0.125","7.0","2.0","14.0","0.2916666666666667","0.08333333333333333","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666","1.0","9.0","9.0","0.041666666666666664","0.375","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","7.0","0.0","0.0","0.2916666666666667","0.0","4.0","0.0","0.0","0.16666666666666666","0.0","7.0","1.0","7.0","0.2916666666666667","0.041666666666666664","6.0","0.0","0.0","0.25","0.0","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","6.0","3.0","18.0","0.25","0.125","5.0","4.0","20.0","0.20833333333333334","0.16666666666666666","2.0","3.0","6.0","0.08333333333333333","0.125","3.0","5.0","15.0","0.125","0.20833333333333334","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","4.0","8.0","32.0","0.16666666666666666","0.3333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","4.0","3.0","12.0","0.16666666666666666","0.125","6.0","2.0","12.0","0.25","0.08333333333333333","6.0","2.0","12.0","0.25","0.08333333333333333","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","5.0","3.0","15.0","0.20833333333333334","0.125","7.0","2.0","14.0","0.2916666666666667","0.08333333333333333","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666","1.0","9.0","9.0","0.041666666666666664","0.375","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","7.0","0.0","0.0","0.2916666666666667","0.0","4.0","0.0","0.0","0.16666666666666666","0.0","7.0","1.0","7.0","0.2916666666666667","0.041666666666666664","6.0","0.0","0.0","0.25","0.0","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","6.0","3.0","18.0","0.25","0.125","5.0","4.0","20.0","0.20833333333333334","0.16666666666666666","2.0","3.0","6.0","0.08333333333333333","0.125","3.0","5.0","15.0","0.125","0.20833333333333334","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","4.0","8.0","32.0","0.16666666666666666","0.3333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","4.0","3.0","12.0","0.16666666666666666","0.125","6.0","2.0","12.0","0.25","0.08333333333333333","6.0","2.0","12.0","0.25","0.08333333333333333","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","5.0","3.0","15.0","0.20833333333333334","0.125","7.0","2.0","14.0","0.2916666666666667","0.08333333333333333","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666","1.0","9.0","9.0","0.041666666666666664","0.375","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","1.0","4.0","0.16666666666666666","0.041666666666666664","7.0","0.0","0.0","0.2916666666666667","0.0","4.0","0.0","0.0","0.16666666666666666","0.0","7.0","1.0","7.0","0.2916666666666667","0.041666666666666664","6.0","0.0","0.0","0.25","0.0","5.0","2.0","10.0","0.20833333333333334","0.08333333333333333","6.0","3.0","18.0","0.25","0.125","5.0","4.0","20.0","0.20833333333333334","0.16666666666666666","2.0","3.0","6.0","0.08333333333333333","0.125","3.0","5.0","15.0","0.125","0.20833333333333334","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","4.0","8.0","32.0","0.16666666666666666","0.3333333333333333","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","4.0","3.0","12.0","0.16666666666666666","0.125","6.0","2.0","12.0","0.25","0.08333333333333333","6.0","2.0","12.0","0.25","0.08333333333333333","4.0","3.0","12.0","0.16666666666666666","0.125","4.0","2.0","8.0","0.16666666666666666","0.08333333333333333","5.0","3.0","15.0","0.20833333333333334","0.125","7.0","2.0","14.0","0.2916666666666667","0.08333333333333333","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666","1.0","9.0","9.0","0.041666666666666664","0.375","1.0","22.0","22.0","0.041666666666666664","0.9166666666666666","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","4.0","3.0","12.0","0.16","0.12","4.0","1.0","4.0","0.16","0.04","8.0","0.0","0.0","0.32","0.0","4.0","0.0","0.0","0.16","0.0","7.0","1.0","7.0","0.28","0.04","6.0","0.0","0.0","0.24","0.0","5.0","2.0","10.0","0.2","0.08","6.0","3.0","18.0","0.24","0.12","5.0","4.0","20.0","0.2","0.16","2.0","3.0","6.0","0.08","0.12","3.0","5.0","15.0","0.12","0.2","4.0","2.0","8.0","0.16","0.08","4.0","8.0","32.0","0.16","0.32","4.0","2.0","8.0","0.16","0.08","4.0","3.0","12.0","0.16","0.12","6.0","2.0","12.0","0.24","0.08","6.0","2.0","12.0","0.24","0.08","4.0","3.0","12.0","0.16","0.12","4.0","2.0","8.0","0.16","0.08","5.0","3.0","15.0","0.2","0.12","7.0","2.0","14.0","0.28","0.08","1.0","23.0","23.0","0.04","0.92","1.0","10.0","10.0","0.04","0.4","1.0","22.0","22.0","0.04","0.88","2.0","1.0","2.0","0.08","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","4.0","3.0","12.0","0.16","0.12","4.0","1.0","4.0","0.16","0.04","8.0","0.0","0.0","0.32","0.0","4.0","0.0","0.0","0.16","0.0","7.0","1.0","7.0","0.28","0.04","6.0","0.0","0.0","0.24","0.0","5.0","2.0","10.0","0.2","0.08","6.0","3.0","18.0","0.24","0.12","5.0","4.0","20.0","0.2","0.16","2.0","3.0","6.0","0.08","0.12","3.0","5.0","15.0","0.12","0.2","4.0","2.0","8.0","0.16","0.08","4.0","8.0","32.0","0.16","0.32","4.0","2.0","8.0","0.16","0.08","4.0","3.0","12.0","0.16","0.12","6.0","2.0","12.0","0.24","0.08","6.0","2.0","12.0","0.24","0.08","4.0","3.0","12.0","0.16","0.12","4.0","2.0","8.0","0.16","0.08","5.0","3.0","15.0","0.2","0.12","7.0","2.0","14.0","0.28","0.08","1.0","23.0","23.0","0.04","0.92","1.0","10.0","10.0","0.04","0.4","1.0","22.0","22.0","0.04","0.88","2.0","1.0","2.0","0.08","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","4.0","3.0","12.0","0.16","0.12","4.0","1.0","4.0","0.16","0.04","8.0","0.0","0.0","0.32","0.0","4.0","0.0","0.0","0.16","0.0","7.0","1.0","7.0","0.28","0.04","6.0","0.0","0.0","0.24","0.0","5.0","2.0","10.0","0.2","0.08","6.0","3.0","18.0","0.24","0.12","5.0","4.0","20.0","0.2","0.16","2.0","3.0","6.0","0.08","0.12","3.0","5.0","15.0","0.12","0.2","4.0","2.0","8.0","0.16","0.08","4.0","8.0","32.0","0.16","0.32","4.0","2.0","8.0","0.16","0.08","4.0","3.0","12.0","0.16","0.12","6.0","2.0","12.0","0.24","0.08","6.0","2.0","12.0","0.24","0.08","4.0","3.0","12.0","0.16","0.12","4.0","2.0","8.0","0.16","0.08","5.0","3.0","15.0","0.2","0.12","7.0","2.0","14.0","0.28","0.08","1.0","23.0","23.0","0.04","0.92","1.0","10.0","10.0","0.04","0.4","1.0","22.0","22.0","0.04","0.88","2.0","1.0","2.0","0.08","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","4.0","3.0","12.0","0.15384615384615385","0.11538461538461539","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","9.0","0.0","0.0","0.34615384615384615","0.0","4.0","0.0","0.0","0.15384615384615385","0.0","7.0","1.0","7.0","0.2692307692307692","0.038461538461538464","6.0","0.0","0.0","0.23076923076923078","0.0","5.0","2.0","10.0","0.19230769230769232","0.07692307692307693","6.0","3.0","18.0","0.23076923076923078","0.11538461538461539","5.0","4.0","20.0","0.19230769230769232","0.15384615384615385","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","3.0","5.0","15.0","0.11538461538461539","0.19230769230769232","4.0","2.0","8.0","0.15384615384615385","0.07692307692307693","4.0","8.0","32.0","0.15384615384615385","0.3076923076923077","4.0","2.0","8.0","0.15384615384615385","0.07692307692307693","4.0","3.0","12.0","0.15384615384615385","0.11538461538461539","6.0","2.0","12.0","0.23076923076923078","0.07692307692307693","6.0","2.0","12.0","0.23076923076923078","0.07692307692307693","4.0","3.0","12.0","0.15384615384615385","0.11538461538461539","4.0","2.0","8.0","0.15384615384615385","0.07692307692307693","5.0","3.0","15.0","0.19230769230769232","0.11538461538461539","7.0","2.0","14.0","0.2692307692307692","0.07692307692307693","1.0","24.0","24.0","0.038461538461538464","0.9230769230769231","1.0","11.0","11.0","0.038461538461538464","0.4230769230769231","1.0","23.0","23.0","0.038461538461538464","0.8846153846153846","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","4.0","3.0","12.0","0.15384615384615385","0.11538461538461539","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","9.0","0.0","0.0","0.34615384615384615","0.0","4.0","0.0","0.0","0.15384615384615385","0.0","7.0","1.0","7.0","0.2692307692307692","0.038461538461538464","6.0","0.0","0.0","0.23076923076923078","0.0","5.0","2.0","10.0","0.19230769230769232","0.07692307692307693","6.0","3.0","18.0","0.23076923076923078","0.11538461538461539","5.0","4.0","20.0","0.19230769230769232","0.15384615384615385","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","3.0","5.0","15.0","0.11538461538461539","0.19230769230769232","4.0","2.0","8.0","0.15384615384615385","0.07692307692307693","4.0","8.0","32.0","0.15384615384615385","0.3076923076923077","4.0","2.0","8.0","0.15384615384615385","0.07692307692307693","4.0","3.0","12.0","0.15384615384615385","0.11538461538461539","6.0","2.0","12.0","0.23076923076923078","0.07692307692307693","6.0","2.0","12.0","0.23076923076923078","0.07692307692307693","4.0","3.0","12.0","0.15384615384615385","0.11538461538461539","4.0","2.0","8.0","0.15384615384615385","0.07692307692307693","5.0","3.0","15.0","0.19230769230769232","0.11538461538461539","7.0","2.0","14.0","0.2692307692307692","0.07692307692307693","1.0","24.0","24.0","0.038461538461538464","0.9230769230769231","1.0","11.0","11.0","0.038461538461538464","0.4230769230769231","1.0","23.0","23.0","0.038461538461538464","0.8846153846153846","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","4.0","3.0","12.0","0.14814814814814814","0.1111111111111111","4.0","1.0","4.0","0.14814814814814814","0.037037037037037035","10.0","0.0","0.0","0.37037037037037035","0.0","4.0","0.0","0.0","0.14814814814814814","0.0","7.0","1.0","7.0","0.25925925925925924","0.037037037037037035","6.0","0.0","0.0","0.2222222222222222","0.0","5.0","2.0","10.0","0.18518518518518517","0.07407407407407407","6.0","3.0","18.0","0.2222222222222222","0.1111111111111111","5.0","4.0","20.0","0.18518518518518517","0.14814814814814814","2.0","3.0","6.0","0.07407407407407407","0.1111111111111111","3.0","5.0","15.0","0.1111111111111111","0.18518518518518517","4.0","2.0","8.0","0.14814814814814814","0.07407407407407407","4.0","8.0","32.0","0.14814814814814814","0.2962962962962963","4.0","2.0","8.0","0.14814814814814814","0.07407407407407407","4.0","3.0","12.0","0.14814814814814814","0.1111111111111111","6.0","2.0","12.0","0.2222222222222222","0.07407407407407407","6.0","2.0","12.0","0.2222222222222222","0.07407407407407407","4.0","3.0","12.0","0.14814814814814814","0.1111111111111111","4.0","2.0","8.0","0.14814814814814814","0.07407407407407407","5.0","3.0","15.0","0.18518518518518517","0.1111111111111111","7.0","2.0","14.0","0.25925925925925924","0.07407407407407407","1.0","25.0","25.0","0.037037037037037035","0.9259259259259259","1.0","12.0","12.0","0.037037037037037035","0.4444444444444444","1.0","24.0","24.0","0.037037037037037035","0.8888888888888888","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","3.0","1.0","3.0","0.1111111111111111","0.037037037037037035","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
